"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","receptor ligand activity","14/120","462/15118",0.0303030303030303,3.81767676767677,5.50188090980115,0.0000176698810573877,0.00369735506518923,0.00326688150895508,"HSPA1A/CCL26/WNT11/RELN/CGA/CXCL14/EDN2/DEFB103B/NDP/STC1/FBN2/KITLG/METRNL/APP",14
"GO:0030546","signaling receptor activator activity","14/120","472/15118",0.0296610169491525,3.73679378531073,5.40331534528514,0.0000224082125162984,0.00369735506518923,0.00326688150895508,"HSPA1A/CCL26/WNT11/RELN/CGA/CXCL14/EDN2/DEFB103B/NDP/STC1/FBN2/KITLG/METRNL/APP",14
"GO:0001664","G protein-coupled receptor binding","9/120","250/15118",0.036,4.5354,5.04183978145543,0.000169834287225663,0.0186817715948229,0.016506700898775,"HSPA1A/CCL26/WNT11/HSPA1B/CXCL14/EDN2/DEFB103B/NDP/APP",9
