"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3371571","HSF1-dependent transactivation","4/72","24/9865",0.166666666666667,22.8356481481481,9.18305098019558,0.0000248200021340062,0.0088359207597062,0.00833429545341892,"HSPA1A/HSPB8/HSPA1B/DNAJB1",4
"R-HSA-3371568","Attenuation phase","3/72","14/9865",0.214285714285714,29.360119047619,9.10472453380269,0.000128094722642707,0.0228008606304019,0.0215064297489598,"HSPA1A/HSPA1B/DNAJB1",3
"R-HSA-3371556","Cellular response to heat stress","5/72","82/9865",0.0609756097560976,8.3545054200542,5.73402093923051,0.000317413786382063,0.0376664359840048,0.0355280694231151,"HSPA6/HSPA1A/HSPB8/HSPA1B/DNAJB1",5
