"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PANCREAS_BETA_CELLS",0.787085514834206,0.83732501578107,0.0503964322442957,0.244632970642602,0.787657614497177,37,"9935;5063;1803;2308;5126;3670;3642;1113;6927;10590;6812;6726;5080"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.992711370262391,0.992711370262391,0.0312771255290148,0.161908746661338,0.684101488699025,175,"2746;788;529;2108;7419;3418;8992;5166;30;80273;3030;3939;4695;4129;54884;10935;51606;8802;7416;4942;291;27429;54205;5435;3052;1891;3417;4704;2271;3420;4722;56993;3421;7417;10449;10884;7384;10939;4259;1537;1349;81689;10440;4967;1892;2109;4706;55288;292;64960;1352;65003"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.983425414364641,0.992711370262391,0.0614364107201271,-0.176006744642861,-0.73998043504946,104,"54541;8614;1938;29968;8140;440;55062;4801;6509;79094;1978;5393;22926;8570;6464;9709;3799;10897;4848;6347;5073;1054;23644;7494;55802;55466;3313;1163;10605;5394;10525"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.781155015197568,0.83732501578107,0.0776798560117236,-0.196244575535368,-0.890252546153052,183,"54739;10628;4261;3659;80830;64108;5610;3383;10135;3569;8743;55024;57674;219285;7127;6773;3627;9111;79132;5359;1240;3431;10616;7706;5743;8869;837;103;55601;3433;23424;5777;6737;8082;64135;3587;10906;6403;4283;163351;969;3600;87178;3566;6347;5771;4790;10964;5699;11054"
"HALLMARK_BILE_ACID_METABOLISM",0.703296703296703,0.799200799200799,0.0778840111977068,-0.214268160395941,-0.904090111628198,105,"8856;3991;1582;23461;64137;83594;9023;6718;3932;5189;5190;8800;5824;19;196743"
"HALLMARK_PROTEIN_SECRETION",0.591036414565826,0.715040374311373,0.0883594442500905,-0.230882132017003,-0.949465837905357,94,"163;10040;9805;10564;4952;8774;19;27236;23673;81611;8674;8082;3998;7163;10565;3482;8675;23041;6643"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.567123287671233,0.715040374311373,0.0894366833718621,-0.23010422476302,-0.955975597740355,97,"1649;10451;6016;7074;5563;57761;1027;8822;3932;6513;6885;6773;5335"
"HALLMARK_GLYCOLYSIS",0.323262839879154,0.521616541353384,0.132147260608774,-0.227438168674831,-1.03980124313878,188,"10331;2539;54541;9123;5318;8614;10461;6391;2729;23036;1491;3161;2805;2673;11319;6790;55635;178;10570;5207;25796;64132;4351;10616;5834;1058;22976;10020;55276;1365;112399;4166;9435;9653;8996;79586;10165;5352;126792;2719;5836;8870;2997;7360;4731;8534;1738;2131"
"HALLMARK_APOPTOSIS",0.32,0.521616541353384,0.128788713061714,-0.235018296488567,-1.05247669033945,153,"351;90427;10628;1649;581;3553;3659;2064;7042;5551;3569;1491;1027;3552;8743;7465;51176;6304;3148;6709;599;5159;6574"
"HALLMARK_UV_RESPONSE_DN",0.224188790560472,0.448377581120944,0.159646701919906,-0.253757725339156,-1.10528618624334,134,"2535;5581;4781;11099;10401;2064;3667;2152;10611;51460;4493;1902;1027;7082;26037;323;9863;8476;657;7048;5159;10395;2908;546;3690;55109;5578;23469;23345;8455;10000;5195;9975;1739"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.133333333333333,0.350877192982456,0.204294756516886,-0.290387934913878,-1.19244701063122,89,"10628;135112;3659;64108;5610;27074;219285;6773;3627;9111;79132;51667;5359;3431;7706;103;55601;3433;23424;6737;64135"
"HALLMARK_E2F_TARGETS",0.00104477256373529,0.0058042920207516,0.45505986738723,-0.337274904610818,-1.55438296073721,193,"4001;1062;5885;23468;5981;1027;11113;9133;3161;675;7465;4999;29127;3148;55143;10527;8243;11004;6790;23047;55635;10111;253714;7374;11200;54556;84316;701;1029;672;7398;57122;83463;81611;4175;8914;1164;9918;11340;23649;5411;10714;79677;580;11168;3930;29089;4172;4174;9700;9787;4292;8726;54962;1031;10615;23165;79733;5347;5424;10492"
"HALLMARK_G2M_CHECKPOINT",0.000724158948859226,0.00452599343037016,0.477270815362862,-0.340141886099477,-1.55991963654762,189,"3619;4001;1062;8140;5885;1756;10024;1946;1027;9133;3161;2176;675;699;8317;1870;1063;29127;8065;996;4082;7486;8243;11004;6790;23047;9493;10403;25;9184;546;1058;11104;4957;4331;5813;3837;9585;4175;1164;22823;5926;23649;1112;7272;10293;10721;5887;580;3930;9055;7290;4172;3799;4174;9700;56992"
"HALLMARK_APICAL_SURFACE",0.00444250630340314,0.0186800253378345,0.407017918923954,-0.472827876196048,-1.66715443835839,42,"351;2625;357;9696;9465;142680;1946;5205;2619;51458;6517;672"
"HALLMARK_MITOTIC_SPINDLE",0.00000203975740990154,0.0000509939352475384,0.627256739718528,-0.397168428603219,-1.82675520870636,194,"3619;357;4001;4983;7074;22930;1062;80119;5311;10611;201176;5921;5981;9702;9133;675;55201;699;55125;1063;7840;29127;121512;2316;996;29;23607;6709;64411;4627;4082;9771;4628;832;23332;8243;8476;11004;9564;6790;9493;8440;6711;998;10403;11064;163786;25;5108;10426;253260;11104;9113;4763;9585;1739;393;7204;55785;7272;7461;55755;10565;23365;9826;89941;8976;23637;84376;9055;81;9793;3799;9700;56992;10013;9787;23192;9735;11135;84333;6249;4296;64857;10163;51199;10928;11190;5347;10128;6780;9344;3832"
"HALLMARK_NOTCH_SIGNALING",0.000494840934826931,0.00412367445689109,0.477270815362862,-0.578872573792594,-1.94028114294812,32,"8324;7472;26508;3280;23291;7474;51107;113878;182;7855;3955;5578;4851;8321;5664"
