"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction","significant_fdr","significant_fc","significant","fold_change","fold_change_direction","entrez_id","gene_name"
-0.155799803374419,7.88024660361178,-0.332986349434902,0.746387840006952,0.999820428680471,-5.89138171528005,"ASF1A","Down",FALSE,FALSE,FALSE,0.897634602943148,-1.11403904965475,"25842","anti-silencing function 1A histone chaperone"
0.127649916587173,7.16040116547218,0.332971260539207,0.746398873430085,0.999820428680471,-5.89138683447041,"XLOC_l2_001462","Up",FALSE,FALSE,FALSE,1.09251259855704,1.09251259855704,NA,NA
0.128128557383498,6.52865204948432,0.332908584934209,0.746444704236146,0.999820428680471,-5.89140809592107,"CYP3A7","Up",FALSE,FALSE,FALSE,1.09287511997655,1.09287511997655,"1551","cytochrome P450 family 3 subfamily A member 7"
-0.161721514468375,12.6976247362158,-0.332868584131345,0.746473954903536,0.999820428680471,-5.89142166335595,"RAD51","Down",FALSE,FALSE,FALSE,0.893957707665362,-1.11862115111863,"5888","RAD51 recombinase"
-0.144805680141346,11.2138360428889,-0.332806045455165,0.746519687288804,0.999820428680471,-5.89144287197923,"RPS6KA3","Down",FALSE,FALSE,FALSE,0.904501198669292,-1.10558172998688,"6197","ribosomal protein S6 kinase A3"
0.118830181224792,6.00484018741955,0.332795530856511,0.746527376355691,0.999820428680471,-5.89144643739356,"XLOC_003249","Up",FALSE,FALSE,FALSE,1.085854033567,1.085854033567,NA,NA
-0.114949571759395,8.65019217762551,-0.332785694717203,0.746534569308592,0.999820428680471,-5.89144977264841,"C8orf67","Down",FALSE,FALSE,FALSE,0.923414587376807,-1.08293719166897,NA,NA
-0.189537303685563,2.64912586028813,-0.332780337639166,0.746538486833064,0.999820428680471,-5.89145158909511,"HSF5","Down",FALSE,FALSE,FALSE,0.876886908450959,-1.14039791261854,"124535","heat shock transcription factor 5"
-0.136155376430324,11.4947805815397,-0.332777787300803,0.746540351847395,0.999820428680471,-5.8914524538389,"WFS1","Down",FALSE,FALSE,FALSE,0.909940819328693,-1.09897256915867,"7466","wolframin ER transmembrane glycoprotein"
0.304254531294045,4.80745734972469,0.332732784792374,0.746573261617322,0.999820428680471,-5.89146771178611,"SNORD116-4","Up",FALSE,FALSE,FALSE,1.23478043708668,1.23478043708668,"100033416","small nucleolar RNA, C/D box 116-4"
0.134838367950779,4.64354616182886,0.332600295583252,0.746670152439995,0.999820428680471,-5.89151262011606,"XLOC_002022","Up",FALSE,FALSE,FALSE,1.09796979607041,1.09796979607041,NA,NA
0.183693523860834,5.57600935272095,0.332547532690358,0.746708739825661,0.999820428680471,-5.89153049968459,"PDE6C","Up",FALSE,FALSE,FALSE,1.13578796023179,1.13578796023179,"5146","phosphodiesterase 6C"
0.111216598219379,16.3837816787199,0.332541129011474,0.746713423114798,0.999820428680471,-5.89153266948755,"SEC13","Up",FALSE,FALSE,FALSE,1.08013871368652,1.08013871368652,"6396","SEC13 homolog, nuclear pore and COPII component"
0.117670118629626,6.02754804918767,0.332483117998952,0.746755849590133,0.999820428680471,-5.8915523239047,"XLOC_010860","Up",FALSE,FALSE,FALSE,1.08498125567138,1.08498125567138,NA,NA
