"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction","significant_fdr","significant_fc","significant","fold_change","fold_change_direction","entrez_id","gene_name"
3.83630232641863,8.8078972820165,11.2138165367746,0.000000875377638415443,0.0257185950166457,4.65736427822133,"ARC","Up",TRUE,TRUE,TRUE,14.2837444843859,14.2837444843859,"23237","activity regulated cytoskeleton associated protein"
3.38537140894202,6.0942729270501,9.97973917219432,0.00000244384074189226,0.0311864067654969,4.06950960017819,"FOXJ1","Up",TRUE,TRUE,TRUE,10.449568098362,10.449568098362,"2302","forkhead box J1"
3.39487056343919,14.5508068652667,9.49914156336831,0.00000375370642770547,0.0311864067654969,3.80629539565212,"HSPA1A","Up",TRUE,TRUE,TRUE,10.518598325524,10.518598325524,"3303","heat shock protein family A (Hsp70) member 1A"
5.44563486526787,9.18487476166141,9.03665138579771,0.00000577222213427411,0.0311864067654969,3.53224730471854,"HSPA6","Up",TRUE,TRUE,TRUE,43.5812256482068,43.5812256482068,"3310","heat shock protein family A (Hsp70) member 6"
3.46972877641115,6.74639289298267,8.94593913518967,0.00000629375242212384,0.0311864067654969,3.47595142767945,"TPPP","Up",TRUE,TRUE,TRUE,11.0787927596994,11.0787927596994,"11076","tubulin polymerization promoting protein"
4.16964712397206,2.97847798279239,8.93354868035354,0.00000636890539799119,0.0311864067654969,3.46819487655624,"LOC100130507","Up",TRUE,TRUE,TRUE,17.9965333541352,17.9965333541352,NA,NA
3.59038145406597,3.76441670325984,8.5370339707414,0.0000093788485891332,0.0393643673641048,3.21119668394316,"OR6C76","Up",TRUE,TRUE,TRUE,12.0451583440532,12.0451583440532,"390326","olfactory receptor family 6 subfamily C member 76"
2.48950934405385,9.76528865918394,8.2900503036786,0.0000120227356389146,0.0441534966339138,3.0421624013887,"CCL26","Up",TRUE,TRUE,TRUE,5.615869239056,5.615869239056,"10344","C-C motif chemokine ligand 26"
2.81069902022717,7.73111003192882,8.13123358383146,0.0000141478354103742,0.0461848227063103,2.92965937028553,"MAK","Up",TRUE,TRUE,TRUE,7.0162444852212,7.0162444852212,"4117","male germ cell associated kinase"
3.02884138935874,5.52749247676563,7.93756158210033,0.0000173120241012264,0.0466637099338622,2.78828375724667,"DHRS9","Up",TRUE,TRUE,TRUE,8.16153994072667,8.16153994072667,"10170","dehydrogenase/reductase 9"
2.70748519162092,5.89007131119401,7.89951145810762,0.0000180202912564931,0.0466637099338622,2.75995552671111,"C20orf195","Up",TRUE,TRUE,TRUE,6.53182071128604,6.53182071128604,NA,NA
2.47950107717934,4.62565663687925,7.77330854833455,0.0000206053344686896,0.0466637099338622,2.66467119409982,"XKRX","Up",TRUE,TRUE,TRUE,5.57704563920256,5.57704563920256,"402415","XK related X-linked"
3.54115900081657,4.72623997301689,7.71846193736016,0.0000218526185680188,0.0466637099338622,2.62261795279278,"C5AR1","Up",TRUE,TRUE,TRUE,11.6411283784053,11.6411283784053,"728","complement C5a receptor 1"
2.845343003019,4.80368198821406,7.69738439090557,0.00002235365675055,0.0466637099338622,2.60635197274913,"ADAM32","Up",TRUE,TRUE,TRUE,7.18676744525183,7.18676744525183,"203102","ADAM metallopeptidase domain 32"
2.50986993330347,8.35493215060194,7.63837587475074,0.0000238242222262741,0.0466637099338622,2.56050163253802,"KIAA1683","Up",TRUE,TRUE,TRUE,5.69568726248206,5.69568726248206,NA,NA
