"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction","significant_fdr","significant_fc","significant","fold_change","fold_change_direction","entrez_id","gene_name"
-3.86319934762426,2.97847798279239,-11.7054151946173,0.000000597525782239395,0.0110307863579929,2.8033355151908,"LOC100130507","Down",TRUE,TRUE,TRUE,0.06871651361768,-14.5525427201346,NA,NA
-3.39287697697977,3.76441670325984,-11.4090511775494,0.000000750904449148596,0.0110307863579929,2.73400211177237,"OR6C76","Down",TRUE,TRUE,TRUE,0.095201163979868,-10.5040732507374,"390326","olfactory receptor family 6 subfamily C member 76"
-1.85561153375076,2.59241222078372,-8.8435695186125,0.0000069450486938314,0.0547940867400041,1.92672804978741,"C6orf195","Down",FALSE,TRUE,FALSE,0.276315513083166,-3.61905123907761,NA,NA
-4.45418253855841,4.16614603023374,-8.76979683808123,0.00000746005265350634,0.0547940867400041,1.8965695723742,"EPB41","Down",FALSE,TRUE,FALSE,0.045620227818856,-21.9201009686031,"2035","erythrocyte membrane protein band 4.1"
2.77982967702183,3.11896113428089,8.50805459984703,0.00000965330696914423,0.0567228317506915,1.78564777966565,"LGALS13","Up",FALSE,TRUE,FALSE,6.86771264909276,6.86771264909276,"29124","galectin 13"
-2.71491756627701,5.19807989144006,-8.12605333645274,0.0000142237334072424,0.0696488812507967,1.61212361084234,"XLOC_005567","Down",FALSE,TRUE,FALSE,0.152309985505747,-6.56555771231603,NA,NA
3.56333682402328,2.91924403220775,7.49102497367357,0.0000279780040392266,0.117427679810354,1.28977294546716,"XLOC_003960","Up",FALSE,TRUE,FALSE,11.8214641274466,11.8214641274466,NA,NA
-2.79014761396316,4.29296379809736,-7.17720209335824,0.000039710330226228,0.145836187755822,1.113122283575,"XLOC_009100","Down",FALSE,TRUE,FALSE,0.144571229963011,-6.91700554983072,NA,NA
-3.41170569296964,4.69188501650761,-6.9337177897259,0.000052509426037374,0.16634996611857,0.967405963241582,"LINC00511","Down",FALSE,TRUE,FALSE,0.0939667594633026,-10.6420611470648,"400619","long intergenic non-protein coding RNA 511"
-1.73009246242254,5.69357750790753,-6.85209878811273,0.0000577540953526004,0.16634996611857,0.91678419815633,"XLOC_000982","Down",FALSE,TRUE,FALSE,0.301432637465525,-3.31749079465348,NA,NA
-2.36544723981299,5.25187424183242,-6.78786499308688,0.0000622821520525618,0.16634996611857,0.876299980604489,"XLOC_013942","Down",FALSE,TRUE,FALSE,0.194057051153654,-5.1531237543551,NA,NA
-3.01592696576594,3.8834784027642,-6.70329667911826,0.0000688415479195048,0.168547056489588,0.822118594689261,"XLOC_000856","Down",FALSE,TRUE,FALSE,0.123627622848886,-8.08880715293162,NA,NA
-1.66080637172922,5.06044198296549,-6.25344999400519,0.000119022708974601,0.259621291017012,0.516348614080098,"XLOC_009926","Down",FALSE,TRUE,FALSE,0.316262329221372,-3.16193206589595,NA,NA
1.39573780909877,4.21702842798895,6.22246815348421,0.000123713344936629,0.259621291017012,0.494158537219104,"CTSS","Up",FALSE,TRUE,FALSE,2.63123081491358,2.63123081491358,"1520","cathepsin S"
1.35408237131855,2.71058704625471,6.10337391692964,0.000143697723748023,0.264242432250282,0.407448282184891,"XLOC_001146","Up",FALSE,TRUE,FALSE,2.5563446778821,2.5563446778821,NA,NA
-2.04864021809589,4.22399904037584,-6.10224402209696,0.000143903298706757,0.264242432250282,0.406614795245844,"XLOC_007135","Down",FALSE,TRUE,FALSE,0.241711795276281,-4.13715846534085,NA,NA
-1.85569593236594,7.12752769053287,-5.99077901189548,0.000165836225804504,0.286604018478607,0.323375301961863,"ZMYND12","Down",FALSE,TRUE,FALSE,0.276299348915498,-3.6192629621644,"84217","zinc finger MYND-type containing 12"
-1.86170999978377,2.64925905248514,-5.94066102115757,0.000176853815887404,0.288664728376218,0.285286627727642,"SYT10","Down",FALSE,TRUE,FALSE,0.275149955454868,-3.63438183497735,"341359","synaptotagmin 10"
-1.40806464028615,3.92484210318263,-5.86137768447805,0.00019593178521802,0.302972413142391,0.224182383583624,"XLOC_003962","Down",FALSE,TRUE,FALSE,0.376816843645221,-2.65380918306697,NA,NA
1.30353614888928,3.07912247448917,5.79691409566687,0.0002130841840818,0.304745148987418,0.17372291697986,"OR6B3","Up",FALSE,TRUE,FALSE,2.46833147544155,2.46833147544155,"150681","olfactory receptor family 6 subfamily B member 3"
-1.55591193662515,5.614546163183,-5.76116992813564,0.000223288336094596,0.304745148987418,0.145440447832285,"CSN2","Down",FALSE,TRUE,FALSE,0.340113473293578,-2.94019519519835,"1447","casein beta"
1.49914789627307,2.79929280287615,5.70729270855422,0.000239679023976129,0.304745148987418,0.102397738391811,"KISS1R","Up",FALSE,TRUE,FALSE,2.8267570547594,2.8267570547594,"84634","KISS1 receptor"
-1.80888007387643,3.57211815097166,-5.69356786562285,0.00024405886979718,0.304745148987418,0.0913531954959756,"LOC283116","Down",FALSE,TRUE,FALSE,0.285412401116574,-3.50370199783841,NA,NA
-2.91189855474306,2.72132606003594,-5.67857914564786,0.000248940897743295,0.304745148987418,0.0792544545414984,"XLOC_012759","Down",FALSE,TRUE,FALSE,0.13287130201043,-7.52607963397169,NA,NA
1.52480784887254,5.24301054480057,5.59436709664359,0.000278403100774523,0.321550184713649,0.0105541061826786,"XLOC_004629","Up",FALSE,TRUE,FALSE,2.87748388526181,2.87748388526181,NA,NA
-1.18887327475833,4.78171610978503,-5.56874558677612,0.000288096918203639,0.321550184713649,-0.0105938632270162,"NLGN4X","Down",FALSE,TRUE,FALSE,0.438645302946008,-2.27974628540155,"57502","neuroligin 4 X-linked"
-1.52112447500924,2.30057014260439,-5.54109062284034,0.000298969880911566,0.321550184713649,-0.0335498855014551,"XLOC_003732","Down",FALSE,TRUE,FALSE,0.348414247367356,-2.87014669335733,NA,NA
-1.9788428408145,3.24996598088081,-5.52269521605073,0.000306446738324785,0.321550184713649,-0.0488944749889821,"ADAM29","Down",FALSE,TRUE,FALSE,0.253693271076044,-3.9417679300617,"11086","ADAM metallopeptidase domain 29"
-1.38556223001513,6.21891256614308,-5.4208131459582,0.000351675400088847,0.345573982565646,-0.134969606621498,"PLA2G4E","Down",FALSE,TRUE,FALSE,0.382740313186656,-2.6127375809308,"123745","phospholipase A2 group IVE"
-1.63858102721896,5.18292996214,-5.41832419433671,0.000352866558099706,0.345573982565646,-0.137095637151309,"C5orf64","Down",FALSE,TRUE,FALSE,0.321172210263141,-3.11359441459984,NA,NA
-1.28691786260697,4.95612499719889,-5.3851303851475,0.000369174363477864,0.349882025773537,-0.165555988756797,"LOC285084","Down",FALSE,TRUE,FALSE,0.409825635881425,-2.44006209579659,NA,NA
1.61060485302198,2.48581496563483,5.3457110374397,0.000389601283567802,0.356698226310128,-0.199612649830375,"XLOC_002724","Up",FALSE,TRUE,FALSE,3.05379846119385,3.05379846119385,NA,NA
-2.71442372663363,6.3878718056048,-5.31846960956052,0.000404426422481008,0.356698226310128,-0.223312834798459,"SLCO1B3","Down",FALSE,TRUE,FALSE,0.152362130679699,-6.56331068316597,"28234","solute carrier organic anion transporter family member 1B3"
-2.3759120025785,2.95591635601275,-5.2846537862238,0.000423678703932584,0.356698226310128,-0.252920879913962,"SDIM1","Down",FALSE,TRUE,FALSE,0.192654527725863,-5.19063845425395,"100505705","stress responsive DNAJB4 interacting membrane protein 1"
1.30847572482207,3.06602312003909,5.28251372294406,0.000424929813507641,0.356698226310128,-0.254801678960165,"XLOC_000313","Up",FALSE,TRUE,FALSE,2.47679716425951,2.47679716425951,NA,NA
-1.14340190399709,3.47127097966866,-5.24117684639053,0.000449891605532128,0.359061223169883,-0.291295353631337,"OR51S1","Down",FALSE,TRUE,FALSE,0.452690863944236,-2.20901299241414,"119692","olfactory receptor family 51 subfamily S member 1"
-2.4978524720831,6.88561896816878,-5.21975305180521,0.000463444659068332,0.359061223169883,-0.3103325643763,"LOC100506867","Down",FALSE,TRUE,FALSE,0.177040032709958,-5.64843998666834,NA,NA
-1.41872102565309,4.05812301463126,-5.199876891745,0.000476411435099103,0.359061223169883,-0.32807019642046,"XLOC_003991","Down",FALSE,TRUE,FALSE,0.374043761545567,-2.67348396847457,NA,NA
