"gene","GSM1932083","GSM1932084","GSM1932085","GSM1932086","GSM1932087","GSM1932088","GSM1932089","GSM1932090"
"1/2-SBSRNA4",6.54678133890373,6.38949813412728,6.64844932191311,6.49561232998237,6.0923579717829,6.19640106217105,6.54740076470928,6.06251202194724
"A1BG",11.5247976551295,11.3721150549127,11.8513183072802,11.173606985269,10.15883015127,10.0749384440035,10.1604647866093,9.83571770605246
"A1BG-AS1",9.55895804388223,9.1252354255047,10.0479482204291,9.19264981635658,7.51713770921046,7.42244056662122,7.59183107832317,7.6743157236546
"A1CF",6.06525151667573,5.85172328502013,6.14252512804596,5.47953095125121,6.05713806605903,5.98851766527382,5.75483751458597,5.67347724883937
"A2LD1",8.61393263679509,9.17970032937625,8.9083216972832,8.94170519330284,6.25187848077679,6.17743865419481,7.33053580396544,6.79308406020835
"A2M",4.82294317188351,9.09086633919087,4.98534736353514,5.67028967658284,7.47216913299941,5.05384939902317,5.32791614396154,5.23014993369615
"A2MP1",3.86759692545599,3.69968032779515,2.8268065477346,3.96993134128266,3.99995482490426,4.32348745440655,4.12531791105191,3.77936258622036
"A4GALT",14.3234249369296,14.329115863472,14.1826247750394,13.9396269310864,13.723387872855,13.4168199117641,13.8925816800034,13.4328184703296
"A4GNT",5.27273386986108,5.85060689928574,5.71038296982987,5.35135090728116,5.32850436062615,5.27475399478065,5.53654839954196,5.28527233346979
"AA06",2.94747970703542,3.65162796503742,3.04612483948483,3.43479660450589,4.81222398452941,3.81855804608757,3.93551245707298,3.90888772999613
"AAA1",4.51017005473271,5.10886225877056,4.98792833458465,4.83420550645333,4.86423216155791,4.88053218791466,4.95916267682788,5.12715693841164
"AAAS",11.8987388030411,12.015308302595,12.546905472691,11.804429001742,11.0121906029798,10.8819984906596,11.3110515889987,11.1731047406199
"AACS",11.7341463508014,11.7157268165142,12.3396422885485,11.4171540302786,10.9304244331882,10.8845228898312,10.9975723423314,11.1472282565928
"AACSP1",6.2328782765492,6.08882213171633,6.47971316300519,6.18490725040865,5.45763825096867,5.78265726684072,5.87293114785845,5.68304790975954
"AADAC",3.44130738142546,4.56255865274056,4.67962585360439,4.4373248964641,5.8556095199934,6.85446672841727,3.88723368040677,4.16154179709494
"AADACL2",5.72520342612751,5.55472940016299,5.52443856599876,5.28936045904603,5.23604401207446,5.20691624287438,5.23480321720869,5.23442962088369
"AADACL3",7.23032579826229,7.19899479627319,7.44345149208766,7.09622578312277,7.14858008643232,7.24712316711307,7.00906695322662,6.96808129152998
"AADACL4",4.97244402038758,4.96698498430796,5.40909214851617,5.11791479592288,4.89579696024408,4.29043686371858,5.11406416881129,4.6047278022216
"AADAT",10.0433905494919,9.58050407615475,9.98680580048851,9.0032909955083,7.58722229719954,7.40431628650896,7.1851329128661,7.54594890710438
"AAGAB",13.2361759296133,13.0670566087358,13.2789718874049,12.8611958174096,12.5971355573989,12.4605323496976,12.7735463353107,12.6353446304694
"AAK1",12.9241287830222,12.8309636876683,13.0712673775595,12.7271318349305,11.8264736808987,11.7006212049576,12.3501001305699,12.5939010368035
"AAMP",12.9536722345885,12.8148515300745,13.2153911316511,12.4770146414789,12.065841097917,11.8031082167792,11.9144855488319,11.9142160649273
"AANAT",6.0477359649528,5.77131855448703,6.16736734199951,6.26085254026342,7.11078477874197,8.2273044079762,6.925733385267,6.1029469563661
"AARS",11.3336292810974,11.2144093951043,11.5382057548263,10.9226986238134,10.1980480050342,10.1425764045504,11.6640750865549,10.3563327630319
"AARS2",11.8199841211932,11.7271945346861,12.2829163074611,11.6451556885264,10.9010431191391,10.6760449314859,11.4509636060582,11.2862930385896
"AARSD1",12.1259725127161,11.7501164233745,12.4281430922778,11.4524140646358,11.9479779138729,11.8564343524607,11.9365237256634,11.8611550364356
"AASDH",8.44375697548364,8.55617946282373,8.86641032507004,8.39413029625464,7.42293751350104,7.31170635251408,7.80586172665681,7.74671839346891
"AASDHPPT",12.0656129279488,12.0160242982493,12.456328918457,11.7425181523444,12.0676416337822,12.061008508428,12.3481628807209,12.5201876439286
"AASS",10.4519164986436,10.3384273999665,10.4617451232517,10.2735411578574,10.7051301029742,10.5764453065818,10.5331571038085,10.7128748895921
"AATF",13.960183857967,13.5730695772193,14.1119531244131,13.5536904462602,14.1256168541098,13.9693307263712,13.9846498410352,14.0270679535839
