"sample_id","mean","median","sd","iqr","min","max","cell_line","treatment","group"
"GSM1932083",7.54369694538586,6.93485883874017,3.67020373030017,5.30332540190376,1.59929636737515,19.4572391415576,"HDF","TP4","HDF_TP4"
"GSM1932084",7.53136158884331,6.93971764596498,3.59240460453093,5.13049602598322,1.60054618013149,19.2317109938627,"HDF","TP4","HDF_TP4"
"GSM1932085",7.71591007756378,7.10581245103458,3.65385266261325,5.28985295739562,1.93147391729935,19.4160401804382,"HDF","Mock","HDF_Mock"
"GSM1932086",7.48291592468521,6.93004927916625,3.4842507597838,4.90653934643626,1.73836923047999,19.2335646302711,"HDF","Mock","HDF_Mock"
"GSM1932087",7.41724543383455,6.83554678096057,3.54400414362834,5.08459848420809,1.55534352141882,19.1331235936593,"MDA-MB-231","TP4","MDA-MB-231_TP4"
"GSM1932088",7.36509780302062,6.82094771129207,3.50928890669067,5.01320800246737,1.64667557541937,19.0273339086368,"MDA-MB-231","TP4","MDA-MB-231_TP4"
"GSM1932089",7.42043671192446,6.91219390887009,3.50914976108436,5.0849538415386,1.99259442690425,19.1484045342043,"MDA-MB-231","Mock","MDA-MB-231_Mock"
"GSM1932090",7.36470995142,6.79179231176617,3.52150111689305,5.05334210181536,1.74612956907545,19.0537964645028,"MDA-MB-231","Mock","MDA-MB-231_Mock"
